3850,370
1460,110
996,124
896,49
515,252
471,114
243,117
231,45
227,151
212,64
209,99
3420,351
1740,93
1200,304
751,97
334,37
316,125
296,100
247,132
217,46
201,36
5230,407
1950,253
1010,100
597,100
384,133
376,41
333,132
223,107
126,50
123,39
2500,248
928,84
837,88
479,171
370,90
336,32
273,255
246,129
192,93
164,39
1940,286
638,93
588,86
557,99
492,129
276,134
256,36
189,111
150,56
135,198
2750,491
1850,277
527,95
525,82
379,35
339,127
227,96
266,126
253,91
251,123
209,333
2360,297
761,148
577,96
572,89
384,37
223,245
222,137
204,115
192,77
190,108
188,140
1520,350
653,72
532,159
514,206
493,84
365,35
201,101
167,354
150,50
141,75
132,19
1180,303
550,176
549,94
401,69
399,39
288,253
251,246
205,54
130,114
128,130
127,47
1340,46
550,13
524,34
415,11
265,25
173,23
135,28
123,22
113,9
110,2
99,15
1240,294
899,94
707,155
511,68
437,39
180,97
166,111
162,283
123,53
108,107
2690,350
628,195
620,90
474,82
378,88
316,48
299,35
265,47
139,153
128,33
124,108
2680,275
779,65
568,172
566,89
437,110
280,38
209,49
172,88
144,33
139,51
126,38
2120,412
614,204
567,71
505,74
327,33
285,115
256,65
144,27
130,42
112,17
112,111
1420,273
846,89
450,65
418,111
349,38
337,173
270,165
204,245
132,130
130,69
112,102
1060,79
889,78
741,275
732,117
292,167
277,29
196,193
146,35
145,98
141,92
138,146
1110,87
871,66
860,269
595,76
349,32
228,164
226,124
224,47
207,47
186,99
184,166
1010,65
798,69
625,224
462,206
416,119
399,26
258,73
246,122
244,105
229,26
1460,81
649,60
436,241
407,166
305,27
297,92
194,209
163,69
149,155
140,47
129,41
1540,68
831,166
770,148
622,71
413,121
306,27
245,33
191,81
168,79
140,89
139,38
808,51
787,70
518,223
463,46
278,151
225,25
206,159
162,38
117,70
113,32
105,67
658,51
507,70
441,223
372,47
321,25
216,67
191,151
187,79
170,70
134,159
119,32
838,50
590,7
547,14
499,105
486,24
243,33
201,24
168,26
163,49
150,8
145,10
766,224
713,25
586,47
505,53
341,99
225,71
205,85
182,22
140,42
128,17
118,159
880,227
834,60
640,42
635,59
493,39
457,37
398,26
339,75
194,69
166,61
159,134
1670,58
1450,75
688,26
638,226
218,11
216,84
214,39
214,95
190,37
181,38
147,104
1600,59
1590,80
725,227
508,31
274,173
177,58
149,182
147,87
133,82
131,39
