3850,30.72
1460,9.89
996,8.87
896,3.96
515,12.34
471,14.09
243,11.6
231,4.55
227,8.28
212,6.51
209,8.09
3420,16.55
1740,12.22
1200,14.39
751,6.63
402,12.63
334,2.68
316,6.09
296,13.21
247,11.69
217,3.63
201,2.17
5230,50.65
2700,19.15
1950,23.74
1010,8.75
597,7.51
384,12.76
376,2.23
333,7.81
223,11.07
126,3.29
123,1.99
2500,17.37
1010,9.84
928,3.6
837,4.69
479,8.92
370,7.28
336,1.58
273,14.1
246,9.28
192,7.83
164,3.08
1940,11.25
638,4.14
588,13.16
557,6.46
492,12.81
276,9.79
256,1.66
189,6.64
186,5.28
150,6.01
135,19.26
2750,27.21
1850,18.22
527,4.22
525,4.09
379,2.89
339,7.75
227,2.96
266,10.7
253,4.13
251,5.78
209,13.33
2360,21.91
761,9.4
577,5.22
572,6.9
384,1.97
223,7.43
222,7.09
204,6.18
192,7.62
190,9.65
188,17.14
1520,11.87
653,7.49
532,14.44
514,4.83
493,5.56
365,2.8
201,3.9
167,13.21
150,3.01
141,8.2
132,1.61
1180,10.61
550,6.67
549,5.4
401,5.56
399,2.32
288,34.3
251,6.26
205,4.42
130,6.35
128,6.51
127,5.33
1340,19.53
550,4.96
524,6.35
415,1.44
265,4.8
173,3.85
135,2.19
123,10.55
113,2.21
110,1.61
99,6.82
1240,11.49
899,4.41
707,10.84
511,4.25
437,2.91
180,2.64
166,4.44
162,25.12
126,4.1
123,2.51
108,5.29
2690,12
628,13.08
620,4.15
474,2.99
378,7.01
316,2.97
299,1.69
265,4.36
139,29.55
128,1.47
124,4.94
2680,28.96
779,7.41
568,20.34
566,5.67
437,11.41
280,2.3
209,3.05
172,4.62
144,3.08
139,6.29
126,8.08
2120,37.65
614,20.94
567,5.58
505,7.68
327,2.19
285,10.39
256,11.38
144,1.76
130,2.59
112,1.38
112,7.22
1420,25.43
846,6.82
450,5.6
418,7.23
349,2.11
337,13.18
270,39.93
204,8.45
132,22.42
130,14.86
112,16.85
1060,4.93
889,3.32
741,10.52
732,16.87
292,10.42
277,1.51
196,5.48
146,2.63
145,6.35
141,10.23
138,6.23
1110,7.32
871,5.57
860,10.92
595,5.63
349,1.28
228,6.67
226,12.88
224,5.54
207,2.23
186,8.83
184,7.22
1010,4.6
798,6.16
625,6.19
462,34.02
416,4.24
399,1.92
332,49.97
258,6.47
246,6.83
244,4.59
229,2.81
1460,4.77
649,5.09
436,6.79
407,10.82
305,1.36
297,6.68
194,12.59
163,9.36
149,5
140,4.09
129,2.25
1540,3.31
831,15.48
770,10.53
622,4.54
413,13.33
306,2.45
245,3.25
191,7.71
168,5.47
140,4.75
139,1.84
808,2.18
787,10.7
518,4.4
463,3.3
278,7.52
225,1.16
206,4.76
162,6.57
117,5.66
113,1.92
105,4.88
658,3.4
507,5
441,4.55
372,3.14
321,2.17
216,7.28
191,5.43
187,6.31
170,6.39
134,3.24
119,3.31
838,11.61
590,1.43
547,2.6
499,4.38
486,3.64
243,6.67
201,5.54
168,5.05
163,4.7
150,2.87
145,1.29
766,10.83
713,2.68
586,4.02
505,1.69
341,15.66
225,8.31
205,5.22
182,2.47
140,1.67
128,1.1
118,5.13
880,10.83
834,7.41
640,3.37
635,3.22
493,7.9
457,5.05
398,1.67
339,6.44
194,7.85
166,7.67
159,10.33
1670,6.86
1450,9.9
688,2.03
638,9.2
218,2.13
216,11.87
214,2.44
214,13.42
190,2.16
181,3.66
147,12.14
1600,6.76
1590,9.73
725,17.86
508,2.47
428,27.83
274,19.9
177,7.75
149,17.1
147,5.17
133,8.09
131,2.73
