3850,154.89,194.5,210.87,146.1,370,30.72
1460,600.55,563,620.12,558.79,110,9.89
996,23.77,22.52,24.58,22.4,124,8.87
896,120.93,116.36,121,116.21,49,3.96
515,8.53,9.29,9.48,8.31,252,12.34
471,24.87,24.71,27.76,23.85,114,14.09
243,36.97,35.21,39.48,34.9,117,11.6
231,197.31,201.91,203.02,193.79,45,4.55
227,9.39,9.75,10.02,9.19,151,8.28
212,78.03,73.96,79,73.86,64,6.51
209,117,110.26,118.87,109.25,99,8.09
3420,217.71,246.9,249.85,208.51,351,16.55
1740,608.18,673.58,678.09,595.21,93,12.22
1200,9.38,10.5,10.77,9.22,304,14.39
751,23.38,24.26,24.74,23.1,97,6.63
334,119.03,121.08,122.06,118.79,37,2.68
316,10.19,10.45,10.68,10.03,125,6.09
296,37.48,41.35,42.08,36.52,100,13.21
247,132.91,141.48,147.21,130,132,11.69
217,200.18,194.51,201.7,194.37,46,3.63
201,307.47,311.77,313.73,306.92,36,2.17
5230,269.43,265,348.5,172,407,50.65
1950,11.02,9.85,12.47,9.51,253,23.74
1010,700.3,668.06,717.85,655.06,100,8.75
597,25.03,24.75,26.24,24.27,100,7.51
384,25.4,25.95,28.68,25.02,133,12.76
376,121.69,119.98,122.17,119.45,41,2.23
333,11.01,10.34,11.01,10.15,132,7.81
223,43.5,41.32,45.26,40.25,107,11.07
126,79.75,77.52,80.04,77.41,50,3.29
123,316.16,310.88,316.47,310.17,39,1.99
2500,241.64,260,281.5,232.6,248,17.37
928,699.4,699.6,702.5,677.18,84,3.6
837,25.95,26.73,26.84,25.58,88,4.69
479,10.65,10.28,10.87,9.9,171,8.92
370,44.44,46.03,46.16,42.8,90,7.28
336,122.54,121.96,123.21,121.26,32,1.58
273,24.77,28.2,28.3,24.31,255,14.1
246,22.66,24.8,24.88,22.57,129,9.28
192,26.32,25.83,27.84,25.66,93,7.83
164,79.4,81.23,81.89,79.37,39,3.08
1940,275,264.5,295.5,262.27,286,11.25
638,670,693.73,694.88,666.14,93,4.14
588,10.47,11.85,11.93,10.36,86,13.16
557,25.74,26.92,26.92,25.18,99,6.46
492,10.16,11.16,11.4,9.94,129,12.81
276,23.49,24.94,25.75,23.23,134,9.79
256,120.4,121.03,121.17,119.16,36,1.66
189,43.51,45.5,45.8,42.76,111,6.64
150,253.86,269.19,269.72,253.5,56,6.01
135,15.2,17.46,18.22,14.71,198,19.26
2750,277.52,220.14,283,206,491,27.21
1850,12.18,14.04,14.49,11.85,277,18.22
527,27.35,26.79,27.47,26.31,95,4.22
525,694.09,707.94,713.18,684.04,82,4.09
379,121.41,123.99,124,120.42,35,2.89
339,12.09,11.68,12.52,11.55,127,7.75
227,4.29,4.3,4.39,4.26,96,2.96
266,25.35,27.65,28.04,25.04,126,10.7
253,45.55,44.93,46.29,44.38,91,4.13
251,25.65,25.8,26.66,25.12,123,5.78
209,1.43,1.62,1.65,1.43,333,13.33
2360,203.16,208.17,220.7,172.35,297,21.91
761,13.62,13.02,13.62,12.34,148,9.4
577,703.35,676.88,707.92,671,96,5.22
572,26.75,25.61,27.1,25.23,89,6.9
384,125.7,125.57,127.22,124.72,37,1.97
223,26.11,25,26.93,24.93,245,7.43
222,44.86,42.68,45.15,41.95,137,7.09
204,73.73,77,78,73.18,115,6.18
192,11.87,11.46,12.2,11.27,77,7.62
190,15.8,15.44,16.68,15.07,108,9.65
188,1.74,1.51,1.75,1.45,140,17.14
1520,217.84,209.81,231.47,204,350,11.87
653,656.87,701.81,703.73,651.01,72,7.49
532,37.03,39.33,39.97,34.2,159,14.44
514,13.24,13.56,13.66,13,206,4.83
493,24.52,25.21,25.73,24.3,84,5.56
365,124.05,124.76,125.86,122.34,35,2.8
201,24.82,24.5,25.13,24.15,101,3.9
167,1.41,1.54,1.59,1.38,354,13.21
150,8.08,8.14,8.3,8.05,50,3.01
141,41.9,44.76,45.02,41.33,75,8.2
132,162.29,163.51,164.13,161.48,19,1.61
1180,214,201.75,218.88,195.65,303,10.61
550,14.34,14,14.54,13.57,176,6.67
549,684.29,653.16,689.23,652,94,5.4
401,24.73,23.98,25.18,23.78,69,5.56
399,122.88,120.53,123.18,120.32,39,2.32
288,83.54,115.09,124.75,81.96,253,34.3
251,24.3,23.1,24.6,23.06,246,6.26
205,81.06,78.12,81.62,78.01,54,4.42
130,43.3,41.63,44.26,41.45,114,6.35
128,37.5,36.36,38.57,36.06,130,6.51
127,4.04,3.91,4.13,3.91,47,5.33
1340,195.73,200.27,227,182.66,46,19.53
550,646.6,654.87,657.23,624.62,13,4.96
524,14.14,13.93,14.18,13.28,34,6.35
415,119.9,119.99,121.43,119.68,11,1.44
265,24.01,24.32,24.57,23.39,25,4.8
173,23.24,23.07,23.64,22.73,23,3.85
135,190.92,191.14,194,189.76,28,2.19
123,35,38.28,38.57,34.5,22,10.55
113,78.49,79.06,79.34,77.59,9,2.21
110,311.87,313.14,314.73,309.66,2,1.61
99,41.44,43.35,43.4,40.44,15,6.82
1240,205.26,194.49,210.36,186.2,294,11.49
899,684.59,670,699.62,668.75,94,4.41
707,13.15,12.49,13.19,11.76,155,10.84
511,24.89,24.22,24.92,23.86,68,4.25
437,120.33,123.39,123.87,120.26,39,2.91
180,23.24,22.99,23.46,22.84,97,2.64
166,44.07,42.94,44.56,42.58,111,4.44
162,127.94,164.87,165.66,124.05,283,25.12
123,79.99,80.3,81.26,79.22,53,2.51
108,19.46,18.76,19.66,18.62,107,5.29
2690,197.5,181.75,201.75,177.55,350,12
628,11.46,10.66,11.93,10.37,195,13.08
620,24,23.26,24.1,23.1,90,4.15
474,675.77,662.16,677.8,657.51,82,2.99
378,23.33,23.04,24.69,22.96,88,7.01
316,80.13,78.38,80.34,77.95,48,2.97
299,123.33,122.54,124.24,122.14,35,1.69
265,66,63.48,66.05,63.17,47,4.36
139,159.97,118.48,164.06,115.58,153,29.55
128,319.73,317.22,321.09,316.38,33,1.47
124,42.58,41.18,43.11,40.98,108,4.94
2680,157.98,120.34,166.97,118.62,275,28.96
779,23.3,21.88,23.49,21.75,65,7.41
568,10.82,9.02,11.21,8.93,172,20.34
566,667.91,630.27,668.02,630.11,89,5.67
437,41.2,36.96,41.29,36.58,110,11.41
280,122.82,120.09,122.9,120.07,38,2.3
209,77.55,76.48,78.8,76.4,49,3.05
172,23.32,22.52,23.57,22.48,88,4.62
144,190.06,184.72,190.5,184.64,33,3.08
139,32.12,30.8,32.77,30.71,51,6.29
126,66.58,62.04,67.44,61.99,38,8.08
2120,123.49,183.75,187.5,116.9,412,37.65
614,8.96,10.94,11.32,8.95,204,20.94
567,613,640.39,645.5,609.5,71,5.58
505,21.2,22.58,22.8,21.05,74,7.68
327,119.54,120.59,121.66,119,33,2.19
285,35.24,37.94,39.19,35.12,115,10.39
256,29.6,32.96,33.3,29.51,65,11.38
144,309.97,311.33,312.89,307.39,27,1.76
130,75.85,76.22,76.95,74.96,42,2.59
112,163.06,161.78,163.58,161.32,17,1.38
112,9.31,9.88,9.97,9.25,111,7.22
1420,197.68,181,218.93,163.26,273,25.43
846,641.87,618.71,643.82,599.89,89,6.82
450,22.63,22.58,23.05,21.76,65,5.6
418,35.65,36.13,36.65,34,111,7.23
349,120.35,121.21,121.48,118.92,38,2.11
337,11.27,10.24,11.53,10.01,173,13.18
270,65.75,48.23,66.27,39.81,165,39.93
204,22.3,23.91,24.13,22.09,245,8.45
132,26,21.88,26.67,20.69,130,22.42
130,13.5,14.34,15.41,13.12,69,14.86
112,190.84,208.61,209.32,174.05,102,16.85
1060,22.48,21.73,22.5,21.39,79,4.93
889,615.64,611.29,616.48,596.02,78,3.32
741,180.75,181.3,193.92,173.51,275,10.52
732,24.25,23.8,27.44,22.81,117,16.87
292,46.99,45.01,48,43,167,10.42
277,121.65,121.39,122.58,120.73,29,1.51
196,9.56,9.2,9.67,9.14,193,5.48
146,505.66,513.95,518,504.4,35,2.63
145,35.26,35.51,36.84,34.5,98,6.35
141,63.75,58.2,64.72,58.1,92,10.23
138,10.32,10.35,10.76,10.09,146,6.23
1110,601.75,635.62,637.66,591.01,87,7.32
871,21.36,22.04,22.09,20.86,66,5.57
860,187.5,194.46,204.3,182,269,10.92
595,9.08,9.34,9.41,8.88,76,5.63
349,120.11,119.9,120.4,118.86,32,1.28
228,46.72,46.61,48.39,45.16,164,6.67
226,9.64,9.3,9.78,8.52,124,12.88
224,24.05,23.2,24.53,23.17,47,5.54
207,76.74,76,76.56,74.85,47,2.23
186,35.2,37.55,37.96,34.61,99,8.83
184,10.31,10.35,10.52,9.76,166,7.22
1010,646.62,667.93,672,641.11,65,4.6
798,22.5,23.29,23.85,22.38,69,6.16
625,197.5,189.82,199.46,187.11,224,6.19
462,12.96,18.55,19.37,12.78,206,34.02
416,8.61,8.43,8.73,8.36,119,4.24
399,121.65,122.15,123.52,121.15,26,1.92
258,44.15,43.46,45.28,42.35,73,6.47
246,46.93,45.1,46.98,43.77,122,6.83
244,38.96,38.98,39.25,37.45,105,4.59
229,232.91,235.77,239.1,232.39,26,2.81
1460,688.37,661.75,692.42,659.42,81,4.77
649,23.95,23.07,23.95,22.73,60,5.09
436,193.36,191.45,196.97,183.6,241,6.79
407,10.23,9.36,10.26,9.15,166,10.82
305,123.66,123,124.18,122.49,27,1.36
297,41.56,39.66,42.06,39.25,92,6.68
194,17.16,15.54,17.39,15.2,209,12.59
163,27.08,29.04,29.37,26.62,69,9.36
149,45.59,44.64,46.24,43.93,155,5
140,33.77,33.87,34.99,33.56,47,4.09
129,80.16,81.09,81.31,79.48,41,2.25
1540,707.71,691.05,708.16,684.7,68,3.31
831,171,186.95,195,164.81,166,15.48
770,31.23,31.7,33.25,29.75,148,10.53
622,23.78,23.44,24.45,23.34,71,4.54
413,10.1,10.61,11.25,9.75,121,13.33
306,123.87,125.9,126.16,123.07,27,2.45
245,300.89,308.91,310.77,300.68,33,3.25
191,8.75,9.3,9.34,8.62,81,7.71
168,44.55,42.9,44.75,42.3,79,5.47
140,40.54,39.31,40.65,38.72,89,4.75
139,81.74,81.43,81.9,80.39,38,1.84
808,690.3,691.62,696.55,681.37,51,2.18
787,33.1,31.14,33.74,30.13,70,10.7
518,185.21,184.5,192,183.56,223,4.4
463,23.55,23.27,23.61,22.83,46,3.3
278,42,44.35,45.36,41.95,151,7.52
225,126.5,126.21,127.13,125.65,25,1.16
206,10.4,10.2,10.5,10,159,4.76
162,22.36,22.65,23.43,21.89,38,6.57
117,18.05,17.29,18.19,17.16,70,5.66
113,81.21,81.44,82.46,80.88,32,1.92
105,38.83,40,40.39,38.42,67,4.88
658,687,670.97,691.38,667.84,51,3.4
507,31.55,30.78,32.01,30.41,70,5
441,183.22,177.97,184.5,176.11,223,4.55
372,23,22.9,23.55,22.81,47,3.14
321,125.83,127.9,127.92,125.14,25,2.17
216,39.7,37.27,39.85,36.95,67,7.28
191,45.93,43.89,46.2,43.69,151,5.43
187,9.45,8.91,9.51,8.91,79,6.31
170,17.14,16.19,17.21,16.11,70,6.39
134,10.07,9.85,10.18,9.85,159,3.24
119,81.32,82.2,83.1,80.35,32,3.31
838,185.88,170.26,185.88,164.3,50,11.61
590,128.95,130.36,130.39,128.52,7,1.43
547,677.38,683.8,689.55,671.65,14,2.6
499,29.52,29.05,29.69,28.39,105,4.38
486,23.2,23.41,23.6,22.74,24,3.64
243,8.99,9.44,9.59,8.95,33,6.67
201,16.35,16.27,16.62,15.7,24,5.54
168,43.86,42.29,44.36,42.12,26,5.05
163,20.77,20.7,21.26,20.26,49,4.7
150,3310.9,3299.3,3324.5,3229,8,2.87
145,187.2,187.32,188.05,185.63,10,1.29
766,169.7,158.36,171.58,153,224,10.83
713,129.8,133,133.04,129.47,25,2.68
586,23.46,24.04,24.35,23.37,47,4.02
505,677.77,677.02,680.97,669.43,53,1.69
341,22.16,23.31,25.35,21.38,99,15.66
225,30.98,30.84,32,29.34,71,8.31
205,16.25,16.28,16.85,15.97,85,5.22
182,3304.7,3372.2,3372.2,3288.9,22,2.47
140,224.85,223.31,225.07,221.32,42,1.67
128,188.17,187.89,188.22,186.15,17,1.1
118,9.6,9.42,9.74,9.24,159,5.13
880,169.7,158.36,171.58,153,227,10.83
834,24.52,23.34,24.55,22.73,60,7.41
640,237.89,244.01,244.91,236.65,42,3.37
635,685.7,701.98,704.8,682.09,59,3.22
